storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page
あじろ歯科,つくば市西岡２４０－３,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003094,個人,網代浩幸,網代浩幸,"['歯科領域の一次診療', '成人の歯科矯正治療']",['埋伏歯抜歯'],na,na,"['院内処方', '院外処方', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,1.5|1|0.5,na,na,2.5|2|0.5,28.8,na,na,63
髙田歯科医院,つくば市真瀬６０３－１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003095,個人,髙田将生,髙田将生,"['歯科領域の一次診療', '成人の歯科矯正治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,"['往診（終日往診可能以外）', '歯科訪問診療', '訪問歯科衛生指導', '歯科疾患在宅療養管理', '在宅患者歯科治療総合医療管理', '在宅患者訪問口腔リハビリテーション指導管理']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",2.3|1|1.3,na,na,2.4|1|1.4,23,na,na,63
つくば万博歯科,つくば市島名福田坪土地区画整理地Ｂ４８街区,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003096,個人,豊福 偉大,豊福 偉大,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,na,na,1.2|1|0.2,na,na,3.5|2|1.5,25,na,na,63
医療法人歯省会ひたちの矯正歯科医院,牛久市ひたち野東２－１３－３３,na,na,2019年11月28日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003097,医療法人,秋山 真人,秋山 真人,['成人の歯科矯正治療'],na,na,na,"['車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,2|1|1,na,na,5|4|1,33,na,na,64
なかむら歯科医院,取手市ゆめみ野１－１１－３,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003098,個人,中村 信太郎,中村 信太郎,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,3.1|1|2.1,22,na,na,64
たかいそ海岸歯科,日立市日高町４－１８－１５,na,na,2023年6月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003100,個人,齋藤高,齋藤高,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '視覚障害者への配慮（音声による情報の伝達）', '聴覚障害者への配慮（手話による対応）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,"['往診（終日往診可能以外）', '歯科訪問診療', '訪問歯科衛生指導', '歯科疾患在宅療養管理', '在宅患者歯科治療総合医療管理', '在宅患者訪問口腔リハビリテーション指導管理']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",2|2|0,na,na,3|2|1,20,na,na,64
小倉歯科東クリニック,古河市東牛谷新田５２２－１,na,na,2023年8月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003101,個人,小倉 一宏,小倉 一宏,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1.4|1|0.4,na,na,3.5|2|1.5,44,na,na,64
ひらやま歯科医院,取手市寺田４６５６－４,na,na,2023年4月21日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003102,個人,平山賢介,平山賢介,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,na,na,na,64
取手デンタルクリニック,取手市東４－５,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003103,個人,伊藤 嘉彦,伊藤 嘉彦,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,3|1|2,35,na,na,64
つれいし歯科クリニック,守谷市百合ケ丘１－２４８８－１１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003109,個人,連石 宏一郎,連石 宏一郎,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,"['歯科訪問診療', '訪問歯科衛生指導']",na,1|1|-,na,na,4|4|-,30,na,na,64
医療法人社団陵栄会水戸デンタルクリニック,水戸市中央２－7－4１,na,na,2023年3月23日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003110,医療法人,福島 祐介,北 祐一,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,"['歯科訪問診療', '訪問歯科衛生指導']","['病院との連携', '診療所との連携', '居宅介護支援事業所との連携']",2.2|1|1.2,na,na,3.6|3|0.6,3.3,na,na,64
岡﨑歯科診療所,石岡市府中１－５－１８,na,na,2023年3月23日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003111,個人,岡﨑 芳子,岡﨑 芳子,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1.5|1|0.5,na,na,2|2|-,3.8,na,na,64
きよいデンタルクリニック,猿島郡境町猿山１４５－５,na,na,2023年3月20日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003112,個人,関 清伊,関 清伊,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|0,na,na,2|2|0,20,na,na,64
立原歯科医院,常陸大宮市下村田２３８７,na,na,2023年3月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003113,個人,立原輝明,立原輝明,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|0,na,na,3|1|2,19.8,na,na,64
水戸さくら通り歯科,水戸市米沢町１４２－３,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003114,個人,高根 正敏,高根 正敏,"['歯科領域の一次診療', '成人の歯科矯正治療']",na,na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,na,na,1|1|0,na,na,4|3|1,25,na,na,64
東歯科医院,小美玉市大谷５１８－１,na,na,2015年2月10日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003115,個人,東英仁,東英仁,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1.5|1|0.5,na,na,1.5|1|0.5,27.1,na,na,64
えざき歯科クリニック,那珂郡東海村村松２３３４－２,na,na,2019年12月26日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003116,個人,江崎 賢徳,江崎 賢徳,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,19,na,na,64
さくら歯科医院,日立市折笠町３２２ー４,na,na,2023年4月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003117,個人,,三野智子,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']",na,na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '聴覚障害者への配慮（施設内の情報の表示）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,25,na,na,64
あらやま歯科医院,筑西市関本肥土２３－１,na,na,2023年3月24日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003118,個人,荒山 満,荒山 満,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携', '薬局との連携']",1|1|-,na,na,2|1|1,24,na,na,64
岩元歯科クリニック守谷,守谷市中央４－１２－８,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003119,個人,岩元健剛,岩元健剛,"['歯科領域の一次診療', '成人の歯科矯正治療', '顎変形症の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療', '顎変形症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療', '口腔領域の腫瘍の治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,5|1|4,na,na,2|2|-,15,na,na,64
パルナ歯科クリニック,稲敷市西代１４９５,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003120,個人,池田 誠,池田 誠,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|-|-,na,na,1|-|1,20,na,na,64
あべ歯科クリニック,守谷市小山３３６－９,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003122,個人,阿部 吉晴,阿部 吉晴,"['歯科領域の一次診療', '成人の歯科矯正治療']",['埋伏歯抜歯'],na,na,"['車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,2.1|2|1,na,na,3|2|3,40,na,na,64
つくばイオン歯科,つくば市稲岡６６－１,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003123,個人,鴻巣光正,鴻巣光正,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携', '薬局との連携']",2.8|1|1.8,na,na,2.2|1|1.2,48.9,na,na,64
医療法人 ひかり歯科医院,つくばみらい市陽光台２－１９－２,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003124,医療法人,益子正範,益子正範,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '院外処方', '聴覚障害者への配慮（手話による対応）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",2|1|1,na,na,6|2|3,38,na,na,65
岡本歯科医院,つくばみらい市古川３２２－１,na,na,2019年12月06日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003125,個人,岡本善治,岡本善治,['歯科領域の一次診療'],na,na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,3|1|2,25,na,na,65
トーポ歯科医院,牛久市ひたち野東２－２０－１３,na,na,2018年12月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003126,個人,宮内 幸一郎,宮内 幸一郎,['歯科領域の一次診療'],na,na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,3|0|3,na,na,na,65
小泉矯正歯科,日立市鮎川町３－１－２１－２Ｆ,na,na,2023年8月18日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003127,個人,小泉 望,小泉 望,['成人の歯科矯正治療'],na,na,na,"['車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['診療所との連携', '薬局との連携']",1|1|-,na,na,3|1|2,na,na,na,65
ルークス歯科口腔外科クリニック,土浦市桜町３－１－３,na,na,2023年6月02日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003129,医療法人,医療法人社団秀悠会 理事長 大峰秀樹,大峰 悠矢,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,na,na,-|2|-,na,na,na,4,na,na,65
つくばホワイト歯科,つくば市苅間１８８５－１,na,na,2019年12月25日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003130,医療法人,大葉会,千葉 真紀子,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,8|1|7,na,na,5|2|3,na,na,na,65
うめさと歯科クリニック,笠間市下郷４４６８－２－５,na,na,2023年3月30日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003131,個人,梅里朋大,梅里朋大,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ']",na,na,"['病院との連携', '診療所との連携']",2|1|1,na,na,3|1|2,20,na,na,65
Leo歯科クリニック,つくば市苅間４１８－１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003137,医療法人,文目会,古橋 裕文,"['歯科領域の一次診療', '成人の歯科矯正治療', '唇顎口蓋裂の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,3|1|2,na,na,4|3|1,26,na,na,65
つくばすとう歯科医院,つくば市学園南３−４,na,na,2023年2月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003138,医療法人,医療法人TSDC,須藤 堅悦,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,6|2|4,na,na,2|2|0,37.5,na,na,65
マロン歯科クリニック,日立市川尻町６－４４－１１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003139,個人,三島 真彦,三島 真彦,na,na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,6.5,na,na,65
みのわ歯科,常陸大宮市野中町３２７５－２１,na,na,2023年3月23日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003142,個人,箕輪達也,箕輪達也,['歯科領域の一次診療'],na,na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,2|2|0,na,na,2|2|0,41.6,na,na,65
くりの木歯科医院,つくば市学園の森２－３４－４,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003145,個人,大栗 重彦,大栗 重彦,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,"['歯科訪問診療', '訪問歯科衛生指導']",na,1.1|1|0.1,na,na,3.8|3|0.8,30,na,na,65
つくば学園の森歯科クリニック,つくば市東平塚９４７－１,na,na,2019年12月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003146,医療法人,医療法人社団 優祥会,二宮 寿祥,"['歯科領域の一次診療', '成人の歯科矯正治療']",['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置']",na,"['往診（終日対応することができるものに限る）', '歯科訪問診療']",na,2|2|-,na,na,6|6|-,na,na,na,65
あやデンタルクリニック,つくば市大角豆１４０１－１,na,na,2018年12月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003147,医療法人,祐紘会,三上 礼,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,65
Ｄｅｎｔａｌエステ,北茨城市中郷町上桜井２０８７－１－２,na,na,2020年2月06日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003148,個人,前山リエ,前山リエ,na,na,na,na,"['院外処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,2.9,na,na,65
みどりおか歯科クリニック,水戸市千波町2832番地6,na,na,2023年3月23日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003149,医療法人,医療法人緑伸会,伊勢 尋氏,na,"['埋伏歯抜歯', '顎関節症治療']",na,na,"['車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,"['往診（終日往診可能以外）', '歯科訪問診療', '訪問歯科衛生指導', '歯科疾患在宅療養管理']",na,1.1|1|0.1,na,na,2|1|1,5,na,na,65
ＭＡＯデンタルクリニック,坂東市沓掛１６０２－１,na,na,2023年3月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003151,個人,藤井麻央,藤井麻央,['歯科領域の一次診療'],na,na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,1.2|1|0.2,na,na,3|3|0,30.4,na,na,65
みどりの歯科クリニック,つくば市みどりのＡ７０－８ ００２号,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003154,,千代川信輔,千代川 信輔,na,['埋伏歯抜歯'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,na,na,na,na,na,na,na,65
筑波口腔外科,つくば市学園の森２－４０－３,na,na,2019年1月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003161,個人,野口宗則,野口宗則,"['歯科領域の一次診療', '成人の歯科矯正治療', '顎変形症の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療', '顎変形症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,2|1|1,na,na,na,5,na,na,65
佐藤歯科,つくば市研究学園５－３２－１,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003162,個人,中島一憲,中島一憲,['歯科領域の一次診療'],['顎関節症治療'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,2|2|-,na,na,na,7.9,na,na,65
なごみ歯科医院,稲敷郡美浦村大谷４８６－１,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003163,個人,柴幸佑,柴幸佑,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '医療に関する相談窓口設置']",na,na,na,2|1|1,na,na,2|0|2,17.6,na,na,66
みらい平歯科,つくばみらい市陽光台４－９－１,na,na,2019年12月03日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003164,,清水一龍,清水一龍,na,na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1.4|1|0.4,na,na,2.2|2|0.2,33,na,na,66
アース歯科クリニックつくば,つくば市吾妻１－８－１０,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003165,個人,松井 雄一朗,松井 雄一朗,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '医療に関する相談窓口設置']",na,na,"['病院との連携', '診療所との連携']",5|2|3,na,na,6|5|1,50,na,na,66
しろさとハートランド歯科クリニック,東茨城郡城里町那珂西１４０６－２,na,na,2020年1月29日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003166,個人,大関 理恵,大関 理恵,"['歯科領域の一次診療', '成人の歯科矯正治療']",na,na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,1.1|1|0.1,na,na,1.5|1|0.5,19,na,na,66
アキデンタルクリニック,笠間市赤坂９－３,na,na,2023年3月30日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003168,個人,長谷部 正朗,長谷部正朗,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ']",na,na,na,1|1|-,na,na,1|1|-,6,na,na,66
くりの森歯科クリニック,笠間市平町１８７７－８,na,na,2023年3月30日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003169,医療法人,医療法人森ノ会 大関久教,大関久教,"['歯科領域の一次診療', '成人の歯科矯正治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）']",na,"['歯科訪問診療', '在宅患者歯科治療総合医療管理']","['病院との連携', '居宅介護支援事業所との連携']",2|1|1,na,na,4|2|2,18,na,na,66
さかえ歯科診療室,常総市水海道栄町２６８０－２,na,na,2016年3月23日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003170,個人,森田栄,森田栄,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|1|-,40,na,na,66
プラス歯科クリニック,水戸市笠原町285番17,na,na,2023年4月21日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003173,個人,鹿志村陽,鹿志村陽,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,4|4|-,42,na,na,66
つきむら歯科クリニック,稲敷郡阿見町中央１－５－２９,na,na,2019年12月05日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003174,医療法人,医療法人社団月華会,,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']",['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,2.3|1|1.3,33,na,na,66
守谷タウン歯科,守谷市松並青葉1-11-2,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003175,個人,齋藤健,齋藤健,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,2.5|1|1.5,26.7,na,na,66
越川歯科クリニック,神栖市土合本町５－９８０９－７３２,na,na,2023年3月28日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003177,個人,越川洋平,越川洋平,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,2.3|-|2.3,39,na,na,66
きねぶち歯科医院,坂東市長谷989－102,na,na,2020年2月05日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003178,個人,木根淵 美奈,木根淵 美奈,"['歯科領域の一次診療', '成人の歯科矯正治療']",['顎関節症治療'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,3.5|2|1.5,na,na,0.5|-|0.5,20,na,na,66
東歯科医院,坂東市逆井４１１２,na,na,2020年2月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003181,個人,東 昌明,東 昌明,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,4.2,na,na,66
アウルデンタルクリニック,つくば市竹園2－7－8,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080003182,個人,大木 理恵子,大木 理恵子,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,2|2|0,22.6,na,na,66
